WTSQ.SFZ9CT,2021.12,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2022.03,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2022.06,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2022.09,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2022.12,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2023.03,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2023.06,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2023.09,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2023.12,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
WTSQ.SFZ9CT,2024.03,,,C,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Total wholesaling,Total stocks,Current prices,Trend,
